seller_state,customer_state,orders,avg_score,bad_rate,late_rate,avg_delivery_days,avg_transit_days,avg_distance_km,gmv,lane,excess_detractors,gmv_exposure,sar_share
PR,MG,815,4.219631901840491,0.11533742331288344,0.051533742331288344,13.84767382413088,10.269789960414961,881.6912383300752,138450.34,PR to MG,-10.203327752197572,0.0,0.0
PR,PR,701,4.392296718972895,0.07845934379457917,0.0442225392296719,8.161406324298621,4.878596053257252,218.61235617439056,101924.32,PR to PR,-34.62764755127669,0.0,0.0
PR,RS,580,4.2844827586206895,0.1,0.05172413793103448,13.343044779693487,10.16233596743295,628.4350980090237,85839.95,PR to RS,-16.156969443281703,0.0,0.0
PR,SC,387,4.325581395348837,0.09819121447028424,0.06459948320413436,13.255943152454781,10.032477390180878,386.8051143019829,58713.37,PR to SC,-11.48059857681038,0.0,0.0
PR,SP,2900,4.273103448275862,0.09896551724137931,0.03413793103448276,11.080385057471263,7.693195978069166,469.65069338353067,451214.26,PR to SP,-83.78484721640855,0.0,0.0
RJ,BA,133,4.18796992481203,0.11278195488721804,0.10526315789473684,16.922389306599833,14.196130952380951,1187.1375568347862,26172.99,RJ to BA,-2.0049602344077027,0.0,0.0
RJ,GO,104,4.230769230769231,0.10576923076923077,0.0673076923076923,15.127704326923077,12.489983974358974,958.1217720083944,17813.25,RJ to GO,-2.297111762243617,0.0,0.0
RJ,MG,540,4.277777777777778,0.10555555555555556,0.06851851851851852,12.013505658436214,9.390551697530864,379.45733708422216,104570.03,RJ to MG,-12.042695688572625,0.0,0.0
RJ,RJ,933,4.371918542336549,0.09860664523043944,0.06430868167202572,6.528138025485292,3.8312730737168033,55.211216266560015,178786.58000000002,RJ to RJ,-27.29043532858937,0.0,0.0
RJ,SC,110,4.263636363636364,0.09090909090909091,0.1,14.92685606060606,11.769135101010102,805.4683855068445,21780.64,RJ to SC,-4.064252825449978,0.0,0.0
RS,PR,139,4.35251798561151,0.07913669064748201,0.04316546762589928,10.098271382893685,6.316087130295764,580.7696076553012,18888.77,RS to PR,-6.772101297614065,0.0,0.0
RS,RS,285,4.568421052631579,0.042105263157894736,0.05263157894736842,7.357950779727096,3.91661306042885,145.12431801748983,55457.06,RS to RS,-24.43920050230222,0.0,0.0
RS,MG,186,4.451612903225806,0.053763440860215055,0.026881720430107527,11.752314814814815,8.534188321385901,1294.9036275398296,42769.54,RS to MG,-13.781372959397236,0.0,0.0
